,sepal_length,sepal_width,petal_length,petal_width,species,totals,mean
134,6.1,2.6,5.6,1.4,virginica,15.7,3.925
135,7.7,3.0,6.1,2.3,virginica,19.099999999999998,4.7749999999999995
136,6.3,3.4,5.6,2.4,virginica,17.7,4.425
137,6.4,3.1,5.5,1.8,virginica,16.8,4.2
138,6.0,3.0,4.8,1.8,virginica,15.600000000000001,3.9000000000000004
139,6.9,3.1,5.4,2.1,virginica,17.5,4.375
140,6.7,3.1,5.6,2.4,virginica,17.8,4.45
141,6.9,3.1,5.1,2.3,virginica,17.4,4.35
142,5.8,2.7,5.1,1.9,virginica,15.5,3.875
143,6.8,3.2,5.9,2.3,virginica,18.2,4.55
144,6.7,3.3,5.7,2.5,virginica,18.2,4.55
145,6.7,3.0,5.2,2.3,virginica,17.2,4.3
146,6.3,2.5,5.0,1.9,virginica,15.700000000000001,3.9250000000000003
147,6.5,3.0,5.2,2.0,virginica,16.7,4.175
148,6.2,3.4,5.4,2.3,virginica,17.3,4.325
149,5.9,3.0,5.1,1.8,virginica,15.8,3.95
